idSubmercado;idUsinaNaoSimulada;AttMatriz;Iteradores;1;2;3
4;1;potencia_minima;06/2023;459.9577;439.4412;433.66859999999997
4;1;potencia_maxima;06/2023;459.9577;439.4412;433.66859999999997
1;1;potencia_minima;07/2023;7688.0453;7130.0391;6922.275299999999
1;1;potencia_maxima;07/2023;7688.0453;7130.0391;6922.275299999999
2;1;potencia_minima;07/2023;2184.9991;2243.8697;2203.2959
2;1;potencia_maxima;07/2023;2184.9991;2243.8697;2203.2959
3;1;potencia_minima;07/2023;13800.044999999998;14860.277199999997;14064.753299999998
3;1;potencia_maxima;07/2023;13800.044999999998;14860.277199999997;14064.753299999998
4;1;potencia_minima;07/2023;463.53520000000003;474.9874;459.75159999999994
4;1;potencia_maxima;07/2023;463.53520000000003;474.9874;459.75159999999994
1;1;potencia_minima;08/2023;7334.2949;6853.603300000001;6642.640000000001
1;1;potencia_maxima;08/2023;7334.2949;6853.603300000001;6642.640000000001
2;1;potencia_minima;08/2023;2028.0893;2096.6763;2084.6088
2;1;potencia_maxima;08/2023;2028.0893;2096.6763;2084.6088
3;1;potencia_minima;08/2023;15462.839000000002;16816.3838;15772.092200000001
3;1;potencia_maxima;08/2023;15462.839000000002;16816.3838;15772.092200000001
4;1;potencia_minima;08/2023;502.85679999999996;552.9099;561.386
4;1;potencia_maxima;08/2023;502.85679999999996;552.9099;561.386
1;1;potencia_minima;09/2023;7348.372799999999;6372.4902;6535.065699999999
1;1;potencia_maxima;09/2023;7348.372799999999;6372.4902;6535.065699999999
2;1;potencia_minima;09/2023;2162.6916;2226.3596000000002;2178.9707
2;1;potencia_maxima;09/2023;2162.6916;2226.3596000000002;2178.9707
3;1;potencia_minima;09/2023;15253.792800000001;16824.5261;16005.5016
3;1;potencia_maxima;09/2023;15253.792800000001;16824.5261;16005.5016
4;1;potencia_minima;09/2023;586.5287999999999;619.1666;630.9783
4;1;potencia_maxima;09/2023;586.5287999999999;619.1666;630.9783
1;1;potencia_minima;10/2023;6943.0708;6008.2142;6109.195
1;1;potencia_maxima;10/2023;6943.0708;6008.2142;6109.195
2;1;potencia_minima;10/2023;2423.5006;2486.7523;2448.504
2;1;potencia_maxima;10/2023;2423.5006;2486.7523;2448.504
3;1;potencia_minima;10/2023;13577.782599999999;14607.801;13869.469599999999
3;1;potencia_maxima;10/2023;13577.782599999999;14607.801;13869.469599999999
4;1;potencia_minima;10/2023;577.4774;600.1242;584.5127
4;1;potencia_maxima;10/2023;577.4774;600.1242;584.5127
1;1;potencia_minima;11/2023;7158.6844;5641.136100000001;5934.5223000000005
1;1;potencia_maxima;11/2023;7158.6844;5641.136100000001;5934.5223000000005
2;1;potencia_minima;11/2023;2273.2092000000002;2342.3008;2248.4657
2;1;potencia_maxima;11/2023;2273.2092000000002;2342.3008;2248.4657
3;1;potencia_minima;11/2023;12643.842999999999;12880.643000000002;12272.1072
3;1;potencia_maxima;11/2023;12643.842999999999;12880.643000000002;12272.1072
