idTermeletrica;AttMatriz;Iteradores;1;2;3
82;potencia_disponivel_maxima;01/2020;132;132;132
83;potencia_disponivel_maxima;01/2020;143;143;143
83;potencia_disponivel_minima;01/2020;0;0;0
83;potencia_util;01/2020;143;143;143
83;custo_de_operacao;01/2020;1378.150000000000;1378.150000000000;1378.150000000000
83;potencia_minima;01/2020;0;0;0
84;custo_de_operacao;01/2020;1378.150000000000;1378.150000000000;1378.150000000000
84;potencia_util;01/2020;94;94;94
84;potencia_minima;01/2020;0;0;0
84;potencia_disponivel_minima;01/2020;0;0;0
84;potencia_disponivel_maxima;01/2020;94;94;94
85;potencia_disponivel_maxima;01/2020;65;65;65
85;potencia_minima;01/2020;65;65;65
85;potencia_disponivel_minima;01/2020;65;65;65
85;custo_de_operacao;01/2020;0;0;0
85;potencia_util;01/2020;0;0;0
86;custo_de_operacao;01/2020;0;0;0
86;potencia_util;01/2020;0;0;0
86;potencia_minima;01/2020;52;52;52
86;potencia_disponivel_minima;01/2020;52;52;52
86;potencia_disponivel_maxima;01/2020;52;52;52
87;potencia_disponivel_maxima;01/2020;64.500000000000;64.500000000000;64.500000000000
87;potencia_disponivel_minima;01/2020;64.500000000000;64.500000000000;64.500000000000
87;custo_de_operacao;01/2020;0;0;0
87;potencia_util;01/2020;0;0;0
87;potencia_minima;01/2020;64.500000000000;64.500000000000;64.500000000000
88;custo_de_operacao;01/2020;0;0;0
88;potencia_util;01/2020;0;0;0
88;potencia_minima;01/2020;64;64;64
88;potencia_disponivel_minima;01/2020;64;64;64
88;potencia_disponivel_maxima;01/2020;64;64;64
89;potencia_disponivel_maxima;01/2020;55;55;55
89;custo_de_operacao;01/2020;0;0;0
89;potencia_util;01/2020;0;0;0
89;potencia_minima;01/2020;55;55;55
89;potencia_disponivel_minima;01/2020;55;55;55
90;potencia_disponivel_maxima;01/2020;590.800000000000;590.800000000000;590.800000000000
90;potencia_disponivel_minima;01/2020;264;264;264
90;potencia_minima;01/2020;264;264;264
90;potencia_util;01/2020;326.800000000000;326.800000000000;326.800000000000
90;custo_de_operacao;01/2020;70.250000000000;70.250000000000;70.250000000000
91;custo_de_operacao;01/2020;70.250000000000;70.250000000000;70.250000000000
91;potencia_util;01/2020;48;48;48
91;potencia_minima;01/2020;75;75;75
91;potencia_disponivel_minima;01/2020;75;75;75
91;potencia_disponivel_maxima;01/2020;123;123;123
92;custo_de_operacao;01/2020;82.480000000000;82.480000000000;82.480000000000
92;potencia_util;01/2020;506.700000000000;506.700000000000;506.700000000000
92;potencia_minima;01/2020;0;0;0
92;potencia_disponivel_minima;01/2020;0;0;0
92;potencia_disponivel_maxima;01/2020;506.700000000000;506.700000000000;506.700000000000
93;potencia_disponivel_minima;01/2020;0;0;0
93;potencia_minima;01/2020;0;0;0
93;potencia_disponivel_maxima;01/2020;332.400000000000;332.400000000000;332.400000000000
93;custo_de_operacao;01/2020;124.190000000000;124.190000000000;124.190000000000
93;potencia_util;01/2020;332.400000000000;332.400000000000;332.400000000000
94;custo_de_operacao;01/2020;124.190000000000;124.190000000000;124.190000000000
94;potencia_util;01/2020;332.400000000000;332.400000000000;332.400000000000
94;potencia_minima;01/2020;0;0;0
94;potencia_disponivel_minima;01/2020;0;0;0
94;potencia_disponivel_maxima;01/2020;332.400000000000;332.400000000000;332.400000000000
95;potencia_disponivel_maxima;01/2020;360.100000000000;360.100000000000;360.100000000000
95;potencia_disponivel_minima;01/2020;0;0;0
95;potencia_minima;01/2020;0;0;0
95;custo_de_operacao;01/2020;143.030000000000;143.030000000000;143.030000000000
95;potencia_util;01/2020;360.100000000000;360.100000000000;360.100000000000
96;custo_de_operacao;01/2020;151.690000000000;151.690000000000;151.690000000000
96;potencia_util;01/2020;56.300000000000;56.300000000000;56.300000000000
96;potencia_minima;01/2020;0;0;0
96;potencia_disponivel_minima;01/2020;0;0;0
96;potencia_disponivel_maxima;01/2020;56.300000000000;56.300000000000;56.300000000000
97;potencia_disponivel_maxima;01/2020;174.800000000000;174.800000000000;174.800000000000
97;potencia_disponivel_minima;01/2020;0;0;0
97;potencia_util;01/2020;174.800000000000;174.800000000000;174.800000000000
97;custo_de_operacao;01/2020;223.510000000000;223.510000000000;223.510000000000
97;potencia_minima;01/2020;0;0;0
98;custo_de_operacao;01/2020;411.920000000000;411.920000000000;411.920000000000
98;potencia_util;01/2020;0;0;0
98;potencia_minima;01/2020;0;0;0
98;potencia_disponivel_minima;01/2020;0;0;0
98;potencia_disponivel_maxima;01/2020;0;0;0
99;custo_de_operacao;01/2020;575;575;575
99;potencia_util;01/2020;0;0;0
99;potencia_minima;01/2020;0;0;0
99;potencia_disponivel_minima;01/2020;0;0;0
99;potencia_disponivel_maxima;01/2020;0;0;0
100;potencia_disponivel_minima;01/2020;0;0;0
100;potencia_minima;01/2020;0;0;0
100;potencia_disponivel_maxima;01/2020;0;0;0
100;custo_de_operacao;01/2020;711.770000000000;711.770000000000;711.770000000000
100;potencia_util;01/2020;0;0;0
101;potencia_disponivel_maxima;01/2020;159.200000000000;159.200000000000;159.200000000000
101;potencia_disponivel_minima;01/2020;0;0;0
101;custo_de_operacao;01/2020;720.740000000000;720.740000000000;720.740000000000
101;potencia_util;01/2020;159.200000000000;159.200000000000;159.200000000000
101;potencia_minima;01/2020;0;0;0
102;custo_de_operacao;01/2020;720.740000000000;720.740000000000;720.740000000000
