idIntercambio;AttMatriz;Iteradores;1;2;3
2;potencia_maxima;12/2020;8520;8520;9320
3;potencia_maxima;12/2020;10200;10200;11000
3;potencia_minima;12/2020;0;0;0
4;potencia_minima;12/2020;0;0;0
4;potencia_maxima;12/2020;6500;6500;6800
5;potencia_maxima;12/2020;99999;99999;99999
5;potencia_minima;12/2020;0;0;0
6;potencia_minima;12/2020;4239;4183;3712
6;potencia_maxima;12/2020;7000;7000;7000
7;potencia_minima;12/2020;1680;1680;1680
7;potencia_maxima;12/2020;7000;7000;7000
8;potencia_minima;12/2020;0;0;0
8;potencia_maxima;12/2020;99999;99999;99999
9;potencia_minima;12/2020;0;0;0
9;potencia_maxima;12/2020;99999;99999;99999
10;potencia_maxima;12/2020;4500;4500;4500
10;potencia_minima;12/2020;0;0;0
11;potencia_maxima;12/2020;5500;5500;5500
11;potencia_minima;12/2020;0;0;0
12;potencia_minima;12/2020;0;0;0
12;potencia_maxima;12/2020;4000;4000;4000
13;potencia_maxima;12/2020;4000;4000;4000
13;potencia_minima;12/2020;0;0;0
14;potencia_maxima;12/2020;2000;2000;2000
14;potencia_minima;12/2020;0;0;0
15;potencia_maxima;12/2020;2500;2500;2500
15;potencia_minima;12/2020;0;0;0
16;potencia_maxima;12/2020;6000;6000;6000
16;potencia_minima;12/2020;0;0;0
17;potencia_minima;12/2020;0;0;0
17;potencia_maxima;12/2020;2500;2500;2500
1;potencia_minima;01/2021;0;0;0
1;potencia_maxima;01/2021;7100;8600;8600
2;potencia_minima;01/2021;0;0;0
2;potencia_maxima;01/2021;8520;8520;9320
3;potencia_maxima;01/2021;10200;10200;11000
3;potencia_minima;01/2021;0;0;0
4;potencia_minima;01/2021;0;0;0
4;potencia_maxima;01/2021;6500;6500;6800
5;potencia_maxima;01/2021;99999;99999;99999
5;potencia_minima;01/2021;0;0;0
6;potencia_minima;01/2021;4505;4443;3918
6;potencia_maxima;01/2021;7000;7000;7000
7;potencia_minima;01/2021;1680;1680;1680
7;potencia_maxima;01/2021;7000;7000;7000
8;potencia_minima;01/2021;0;0;0
8;potencia_maxima;01/2021;99999;99999;99999
9;potencia_minima;01/2021;0;0;0
9;potencia_maxima;01/2021;99999;99999;99999
10;potencia_maxima;01/2021;4500;4500;4500
10;potencia_minima;01/2021;0;0;0
11;potencia_maxima;01/2021;5500;5500;5500
11;potencia_minima;01/2021;0;0;0
12;potencia_minima;01/2021;0;0;0
12;potencia_maxima;01/2021;4000;4000;4000
13;potencia_maxima;01/2021;4000;4000;4000
13;potencia_minima;01/2021;0;0;0
14;potencia_maxima;01/2021;2000;2000;2000
14;potencia_minima;01/2021;0;0;0
15;potencia_maxima;01/2021;2500;2500;2500
15;potencia_minima;01/2021;0;0;0
16;potencia_maxima;01/2021;6000;6000;6000
16;potencia_minima;01/2021;0;0;0
17;potencia_minima;01/2021;0;0;0
17;potencia_maxima;01/2021;2500;2500;2500
1;potencia_minima;02/2021;0;0;0
1;potencia_maxima;02/2021;5200;6400;6400
2;potencia_minima;02/2021;0;0;0
2;potencia_maxima;02/2021;8820;8820;9520
3;potencia_maxima;02/2021;10500;10500;11200
3;potencia_minima;02/2021;0;0;0
4;potencia_minima;02/2021;0;0;0
4;potencia_maxima;02/2021;6500;6500;6800
5;potencia_maxima;02/2021;99999;99999;99999
5;potencia_minima;02/2021;0;0;0
6;potencia_minima;02/2021;4636;4570;4018
6;potencia_maxima;02/2021;7000;7000;7000
7;potencia_minima;02/2021;1680;1680;1680
7;potencia_maxima;02/2021;7000;7000;7000
8;potencia_minima;02/2021;0;0;0
8;potencia_maxima;02/2021;99999;99999;99999
9;potencia_minima;02/2021;0;0;0
9;potencia_maxima;02/2021;99999;99999;99999
10;potencia_maxima;02/2021;4500;4500;4500
10;potencia_minima;02/2021;0;0;0
11;potencia_maxima;02/2021;5500;5500;5500
11;potencia_minima;02/2021;0;0;0
12;potencia_minima;02/2021;0;0;0
12;potencia_maxima;02/2021;4000;4000;4000
13;potencia_maxima;02/2021;4000;4000;4000
13;potencia_minima;02/2021;0;0;0
14;potencia_maxima;02/2021;2000;2000;2000
14;potencia_minima;02/2021;0;0;0
15;potencia_maxima;02/2021;2300;2300;2150
